Depth,Depth_Decay,Depth_Start,Dropout_Rate,Width,epoch0,epoch100,epoch200,epoch300,epoch400,epoch500,epoch600,epoch700,epoch800,epoch900,epoch1000,epoch1100,epoch1200,epoch1300,epoch1400,epoch1500,epoch1600,epoch1700,epoch1800,epoch1900,epoch2000,epoch2100,epoch2200,epoch2300,epoch2400,epoch2500,epoch2600,epoch2700,epoch2800,epoch2900,epoch3000,epoch3100,epoch3200,epoch3300,epoch3400,epoch3500,epoch3600,epoch3700,epoch3800,epoch3900,epoch4000
3,0.4,50,0.2,200,0.742834,0.760647,0.764332,0.783374,0.807125,0.825553,0.839066,0.84398,0.845413,0.846642,0.846847,0.849099,0.849918,0.849713,0.851351,0.85217,0.854013,0.854627,0.855856,0.855856,0.856265,0.856265,0.857084,0.856265,0.85647,0.857494,0.857289,0.859132,0.858722,0.859541,0.858313,0.859336,0.858517,0.858722,0.858722,0.858313,0.858722,0.859541,0.859951,0.858927,0.859336
3,0.4,50,0.2,250,0.754914,0.760647,0.763309,0.791359,0.812449,0.829443,0.839885,0.843161,0.846437,0.84828,0.84828,0.848894,0.851146,0.851556,0.85217,0.853194,0.854422,0.855651,0.855446,0.856265,0.855856,0.85606,0.85647,0.857084,0.856879,0.855856,0.85647,0.859132,0.857084,0.857084,0.856879,0.857084,0.857494,0.855651,0.856265,0.855651,0.855856,0.855037,0.855651,0.85606,0.855037
3,0.4,50,0.2,300,0.688984,0.760852,0.775798,0.799754,0.826167,0.838042,0.84009,0.845823,0.845823,0.846847,0.849304,0.853399,0.852989,0.853603,0.854013,0.855446,0.855446,0.856879,0.855037,0.857903,0.857084,0.857084,0.856879,0.858517,0.857289,0.856879,0.856675,0.857084,0.858108,0.857903,0.858722,0.857698,0.857903,0.858313,0.858108,0.858313,0.859336,0.857289,0.858722,0.858313,0.859541
3,0.4,50,0.2,350,0.740377,0.762899,0.798116,0.817158,0.836609,0.84009,0.841933,0.845004,0.850327,0.849099,0.849099,0.850532,0.853194,0.852784,0.854013,0.854218,0.854013,0.856265,0.856265,0.857289,0.85647,0.857494,0.85647,0.856675,0.857494,0.855856,0.857084,0.856675,0.85647,0.857084,0.856879,0.857084,0.858108,0.857494,0.858313,0.858313,0.859336,0.859951,0.859132,0.859336,0.859132
3,0.4,50,0.25,50,0.56552,0.760647,0.760647,0.760647,0.763513,0.782146,0.802006,0.820843,0.836404,0.842342,0.845209,0.846642,0.847051,0.845004,0.846028,0.847051,0.847666,0.849099,0.849508,0.850532,0.850123,0.850532,0.850532,0.85217,0.853399,0.852784,0.854013,0.853603,0.853603,0.852989,0.855446,0.855651,0.855651,0.855856,0.85647,0.855856,0.855651,0.856879,0.854013,0.854832,0.855241
3,0.4,50,0.25,100,0.622031,0.760647,0.760647,0.763309,0.781531,0.797707,0.821867,0.835176,0.841318,0.843775,0.84787,0.847256,0.848689,0.850737,0.849918,0.851146,0.852375,0.852784,0.853808,0.854218,0.854627,0.853603,0.85647,0.856265,0.856265,0.85606,0.85606,0.854422,0.857289,0.85606,0.856675,0.85647,0.855241,0.856675,0.857903,0.856675,0.855856,0.855651,0.857289,0.856879,0.85647
3,0.4,50,0.25,150,0.405201,0.760852,0.761056,0.774775,0.796888,0.820024,0.835995,0.842137,0.842752,0.843571,0.847256,0.848894,0.851146,0.851351,0.85217,0.854013,0.854013,0.854832,0.855446,0.854627,0.85647,0.856265,0.856879,0.85647,0.857289,0.856675,0.85647,0.85647,0.856879,0.858313,0.856675,0.857903,0.857289,0.857084,0.857084,0.857289,0.857903,0.857903,0.857494,0.858313,0.857903
3,0.4,50,0.25,200,0.633497,0.76638,0.775798,0.793407,0.821253,0.837838,0.841933,0.843775,0.845004,0.849304,0.850737,0.852375,0.852784,0.853399,0.853603,0.853808,0.855856,0.855446,0.855446,0.85606,0.854627,0.857084,0.85647,0.857903,0.857494,0.858313,0.859132,0.858108,0.858722,0.858722,0.859746,0.858927,0.859132,0.859132,0.858313,0.86036,0.859951,0.86077,0.859541,0.860565,0.861384
3,0.4,50,0.25,250,0.596847,0.760647,0.76638,0.790336,0.81552,0.835176,0.841728,0.84398,0.846233,0.849099,0.851556,0.851761,0.851965,0.851556,0.852784,0.852784,0.853808,0.854627,0.854422,0.854422,0.855241,0.856879,0.85606,0.855037,0.855241,0.85606,0.856879,0.856879,0.856879,0.857494,0.856879,0.857289,0.856879,0.860565,0.861179,0.858722,0.857903,0.858313,0.858722,0.859132,0.857698
3,0.4,50,0.25,300,0.720106,0.760647,0.77457,0.813063,0.837019,0.841114,0.844185,0.845823,0.847256,0.849918,0.850942,0.851146,0.852784,0.852784,0.853603,0.855241,0.856265,0.855241,0.857698,0.856879,0.858108,0.859746,0.859132,0.857903,0.858108,0.858517,0.858517,0.858517,0.859746,0.859951,0.859336,0.859541,0.861179,0.859132,0.858722,0.858517,0.858722,0.859132,0.860155,0.859746,0.859336
3,0.4,50,0.25,350,0.517608,0.766585,0.787469,0.816134,0.834357,0.842547,0.846232,0.848689,0.851146,0.851761,0.853808,0.854218,0.854832,0.856879,0.857903,0.857903,0.859132,0.859746,0.857289,0.859132,0.859746,0.859541,0.859132,0.859541,0.858927,0.857903,0.859132,0.859541,0.857494,0.859951,0.86036,0.858313,0.857903,0.858927,0.859132,0.857698,0.857289,0.861179,0.859132,0.861179,0.860974
3,0.4,100,0.15,50,0.239148,0.768223,0.760647,0.760852,0.762899,0.777641,0.805897,0.823915,0.842752,0.845618,0.849099,0.849304,0.851146,0.85217,0.852375,0.853603,0.854218,0.855037,0.854832,0.855651,0.855037,0.855651,0.855037,0.854627,0.85647,0.85606,0.855037,0.85606,0.855856,0.855856,0.855651,0.856675,0.85606,0.85647,0.856879,0.856879,0.857698,0.856265,0.85647,0.855241,0.856265
